,ID,NEAR_DIST,Name,Category,Interview,Shape_Leng,Shape_Area,Region,AUG_2019,AUG_2020,AUG_2021,AUG_2022,AUG_2023,JUL_2019,JUL_2020,JUL_2021,JUL_2022,JUL_2023,SEP_2019,SEP_2020,SEP_2021,SEP_2022,SEP_2023,Grand Tota,geometry,AUG_2019_dummy,AUG_2020_dummy,AUG_2021_dummy,AUG_2022_dummy,AUG_2023_dummy,JUL_2019_dummy,JUL_2020_dummy,JUL_2021_dummy,JUL_2022_dummy,SEP_2019_dummy,SEP_2020_dummy,SEP_2021_dummy,SEP_2022_dummy,SEP_2023_dummy,Grand Tota_dummy,AUG_2019_percent,AUG_2020_percent,AUG_2021_percent,AUG_2022_percent,AUG_2023_percent,JUL_2019_percent,JUL_2020_percent,JUL_2021_percent,JUL_2022_percent,SEP_2019_percent,SEP_2020_percent,SEP_2021_percent,SEP_2022_percent,SEP_2023_percent,Grand Tota_percent
0,30028800400,11.63,Novo Horizonte do Oeste,Agrovila,1,4472.852462,491009.3392,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.88806217534346 -11.678535516529955, -61.88806631599215 -11.680788287766337, -61.90631693679852 -11.680690414223815, -61.90631656716601 -11.678480354140422, -61.88806217534346 -11.678535516529955))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
1,30028800410,11.58,Novo Horizonte do Oeste,Agrovila,2,3968.1389,522020.6437,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.90397249443067 -11.68877208323215, -61.903379814293544 -11.687513238723929, -61.902380275282844 -11.685986686406583, -61.88807695054184 -11.686038943648219, -61.88808232085758 -11.688954362349325, -61.90397249443067 -11.68877208323215))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
2,30028800490,12.43,Novo Horizonte do Oeste,Agrovila,1,4939.581286,965591.9735,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.92448009603316 -11.78252417611185, -61.90647290829326 -11.783698803645807, -61.906476786457056 -11.788218894581021, -61.924760398899465 -11.786809253669562, -61.92472433251846 -11.786073302214817, -61.92456436683207 -11.78350088719401, -61.92448009603316 -11.78252417611185))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
3,30028800850,11.87,Jardinopolis,Agrovila,2,6047.022054,2028330.67,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.887918121719224 -11.603995652021169, -61.887924698014125 -11.608499486182197, -61.90641655207256 -11.608437217302932, -61.90642860674511 -11.603850995748653, -61.906439897388054 -11.599303655492617, -61.88790591908133 -11.599460202808958, -61.887918121719224 -11.603995652021169))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
4,30028800880,10.47,Novo Horizonte do Oeste,Agrovila,1,4958.625546,981522.1772,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.92431712000795 -11.66031093889312, -61.9063227838088 -11.662628822552266, -61.90631948432103 -11.667141743200167, -61.92433620359149 -11.664839150744276, -61.92431712000795 -11.66031093889312))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
5,30028800910,10.24,Novo Horizonte do Oeste,Agrovila,2,4983.952007,980567.3936,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.92443992211236 -11.664842718946359, -61.90631948432103 -11.667141743200167, -61.906318078589024 -11.671666415337999, -61.924533148698515 -11.669258442769488, -61.924509900360384 -11.6689927994083, -61.924513809435595 -11.668345470225777, -61.92446650475762 -11.665503121536414, -61.92443992211236 -11.664842718946359))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
6,30028801220,9.98,Novo Horizonte do Oeste,Agrovila,3,5038.64252,1068130.24,3,,,,,,,,,,,,,,0.301643319,,0.301643319,"POLYGON ((-61.924549840942376 -11.742140048641813, -61.92027187815903 -11.742145970181262, -61.91563424658374 -11.742154945669425, -61.91108379621348 -11.742163470132361, -61.90635716395265 -11.742169955527725, -61.906369889076856 -11.743253151723183, -61.90638171313688 -11.747458547640443, -61.92449607516003 -11.746613611907206, -61.92452401914192 -11.745668724154056, -61.92454738300034 -11.742774022133052, -61.924549840942376 -11.742140048641813))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,2.82E-05,,2.82E-05
7,30028801250,9.1,Novo Horizonte do Oeste,Agrovila,1,4837.918362,970455.8571,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.95991512349976 -11.774268012023828, -61.94232744244475 -11.773806648388096, -61.94222329703607 -11.77846831101914, -61.95970388487877 -11.778784107879893, -61.959755760074785 -11.777903890921968, -61.95988418706631 -11.774746381046807, -61.95991512349976 -11.774268012023828))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
8,30028801580,11.41,Nova Estrela,Agrovila,1,4826.065731,872070.8143,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.59471557838971 -11.627000979827177, -61.57669657335208 -11.626721404945245, -61.576709056834275 -11.630230179305599, -61.59476559325281 -11.631512365184156, -61.59471557838971 -11.627000979827177))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
9,30028801610,11.09,Rolim de Moura,Agropolis,4,5137.804819,1033888.837,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.88344446097571 -11.724666971234633, -61.883265301342696 -11.74329046755829, -61.88789006514889 -11.743286664087412, -61.88797655984517 -11.724597812786293, -61.887850592322984 -11.724530336437411, -61.8834375142995 -11.724572684229601, -61.88344446097571 -11.724666971234633))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
10,30028801670,8.54,Rolim de Moura,Agropolis,2,4689.894642,905866.7972,3,,,,,,,,,,,,,,,,0,"POLYGON ((-61.86467218906456 -11.707864758027064, -61.86031601446283 -11.707880777962002, -61.86059091828501 -11.724684980256095, -61.86518670164319 -11.724633626840271, -61.86467218906456 -11.707864758027064))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,0
